trade_date,future_date,symbol,name,close,future_close,forward_return,price_factor_score,risk_flags,reason
2025-02-07,2025-05-08,301232,飞沃科技,26.36,28.74,0.09028831562974204,76.0,,价格因子评分 76.0；20日动量 10.06%；5/20日成交额比 1.39；收盘价相对20日均线 8.97%；创20日收盘新高；可纳入候选买入清单
2025-02-17,2025-05-16,002402,和而泰,20.2,19.21,-0.04900990099009894,76.0,,价格因子评分 76.0；20日动量 19.53%；5/20日成交额比 1.27；收盘价相对20日均线 9.60%；创20日收盘新高；可纳入候选买入清单
2025-02-20,2025-05-21,002402,和而泰,20.72,18.96,-0.08494208494208488,76.0,,价格因子评分 76.0；20日动量 17.39%；5/20日成交额比 1.18；收盘价相对20日均线 10.25%；创20日收盘新高；可纳入候选买入清单
2025-02-21,2025-05-22,002402,和而泰,21.34,18.8,-0.11902530459231486,83.0,,价格因子评分 83.0；20日动量 21.66%；5/20日成交额比 1.31；收盘价相对20日均线 12.41%；创20日收盘新高；可纳入候选买入清单
2025-03-05,2025-06-04,301232,飞沃科技,30.13,28.74,-0.04613342183869895,82.0,,价格因子评分 82.0；20日动量 21.30%；5/20日成交额比 1.60；收盘价相对20日均线 14.20%；创20日收盘新高；可纳入候选买入清单
2025-03-06,2025-06-05,301232,飞沃科技,29.6,29.51,-0.0030405405405404817,80.0,,价格因子评分 80.0；20日动量 16.54%；5/20日成交额比 1.76；收盘价相对20日均线 11.30%；可纳入候选买入清单
2025-03-10,2025-06-09,301232,飞沃科技,29.06,29.77,0.02443220922229883,76.0,,价格因子评分 76.0；20日动量 11.21%；5/20日成交额比 1.95；收盘价相对20日均线 8.09%；可纳入候选买入清单
2025-03-11,2025-06-10,301232,飞沃科技,28.93,29.57,0.02212236432768755,78.0,,价格因子评分 78.0；20日动量 12.48%；5/20日成交额比 1.93；收盘价相对20日均线 6.97%；可纳入候选买入清单
2025-03-21,2025-06-20,301232,飞沃科技,29.51,27.41,-0.07116231785835314,80.0,,价格因子评分 80.0；20日动量 13.54%；5/20日成交额比 0.85；收盘价相对20日均线 4.56%；可纳入候选买入清单
2025-04-01,2025-07-01,300540,蜀道装备,23.86,16.58,-0.30511316010058676,80.0,,价格因子评分 80.0；20日动量 0.13%；5/20日成交额比 0.95；收盘价相对20日均线 0.04%；可纳入候选买入清单
2025-05-08,2025-08-01,301183,东田微,47.67,65.84,0.3811621564925529,78.0,,价格因子评分 78.0；20日动量 22.36%；5/20日成交额比 1.22；收盘价相对20日均线 8.92%；创20日收盘新高；可纳入候选买入清单
2025-06-04,2025-08-27,300540,蜀道装备,22.35,18.91,-0.15391498881431775,88.0,,价格因子评分 88.0；20日动量 5.13%；5/20日成交额比 1.42；收盘价相对20日均线 5.03%；创20日收盘新高；可纳入候选买入清单
2025-06-05,2025-08-28,301232,飞沃科技,29.51,37.45,0.26906133514063035,91.0,,价格因子评分 91.0；20日动量 6.57%；5/20日成交额比 1.24；收盘价相对20日均线 4.27%；创20日收盘新高；可纳入候选买入清单
2025-06-06,2025-08-29,301232,飞沃科技,29.61,38.6,0.3036136440391761,93.0,,价格因子评分 93.0；20日动量 3.03%；5/20日成交额比 1.42；收盘价相对20日均线 4.47%；创20日收盘新高；可纳入候选买入清单
2025-06-09,2025-09-01,301232,飞沃科技,29.77,39.58,0.32952636882767883,82.0,,价格因子评分 82.0；20日动量 2.69%；5/20日成交额比 1.59；收盘价相对20日均线 4.89%；创20日收盘新高；可纳入候选买入清单
2025-06-09,2025-09-01,300540,蜀道装备,22.67,19.2,-0.15306572562858412,92.0,,价格因子评分 92.0；20日动量 6.18%；5/20日成交额比 2.13；收盘价相对20日均线 5.94%；创20日收盘新高；可纳入候选买入清单
2025-06-10,2025-09-02,301232,飞沃科技,29.57,38.86,0.314169766655394,83.0,,价格因子评分 83.0；20日动量 1.90%；5/20日成交额比 1.76；收盘价相对20日均线 4.08%；可纳入候选买入清单
2025-06-11,2025-09-03,300540,蜀道装备,22.37,18.17,-0.18775145283862316,78.0,,价格因子评分 78.0；20日动量 3.28%；5/20日成交额比 1.71；收盘价相对20日均线 4.31%；可纳入候选买入清单
2025-06-12,2025-09-04,301183,东田微,48.48,92.54,0.9088283828382842,82.0,,价格因子评分 82.0；20日动量 3.30%；5/20日成交额比 1.51；收盘价相对20日均线 6.42%；创20日收盘新高；可纳入候选买入清单
2025-06-16,2025-09-08,301183,东田微,48.3,92.55,0.9161490683229814,82.0,,价格因子评分 82.0；20日动量 5.87%；5/20日成交额比 1.64；收盘价相对20日均线 5.46%；可纳入候选买入清单
2025-06-17,2025-09-09,301183,东田微,47.67,90.8,0.9047619047619047,82.0,,价格因子评分 82.0；20日动量 2.71%；5/20日成交额比 1.70；收盘价相对20日均线 3.94%；可纳入候选买入清单
2025-06-18,2025-09-10,002402,和而泰,19.93,36.0,0.8063221274460612,76.0,,价格因子评分 76.0；20日动量 4.29%；5/20日成交额比 1.28；收盘价相对20日均线 5.25%；创20日收盘新高；可纳入候选买入清单
2025-06-18,2025-09-10,301183,东田微,49.69,92.89,0.8693902193600322,92.0,,价格因子评分 92.0；20日动量 7.04%；5/20日成交额比 1.96；收盘价相对20日均线 7.96%；创20日收盘新高；可纳入候选买入清单
2025-06-19,2025-09-11,002402,和而泰,20.1,37.9,0.8855721393034823,76.0,,价格因子评分 76.0；20日动量 6.01%；5/20日成交额比 1.61；收盘价相对20日均线 5.83%；创20日收盘新高；可纳入候选买入清单
2025-06-19,2025-09-11,301183,东田微,51.37,97.95,0.9067549153202259,92.0,,价格因子评分 92.0；20日动量 12.11%；5/20日成交额比 1.94；收盘价相对20日均线 10.94%；创20日收盘新高；可纳入候选买入清单
2025-06-20,2025-09-12,301183,东田微,50.35,97.4,0.9344587884806357,82.0,,价格因子评分 82.0；20日动量 12.64%；5/20日成交额比 1.95；收盘价相对20日均线 8.08%；可纳入候选买入清单
2025-06-23,2025-09-15,002402,和而泰,20.59,37.62,0.8271005342399222,76.0,,价格因子评分 76.0；20日动量 11.24%；5/20日成交额比 1.95；收盘价相对20日均线 7.49%；创20日收盘新高；可纳入候选买入清单
2025-06-23,2025-09-15,301183,东田微,50.5,96.62,0.9132673267326734,82.0,,价格因子评分 82.0；20日动量 16.41%；5/20日成交额比 1.96；收盘价相对20日均线 7.58%；可纳入候选买入清单
2025-06-24,2025-09-16,002402,和而泰,20.77,39.0,0.8777082330284065,86.0,,价格因子评分 86.0；20日动量 9.43%；5/20日成交额比 2.08；收盘价相对20日均线 7.92%；创20日收盘新高；可纳入候选买入清单
2025-06-25,2025-09-17,002402,和而泰,20.79,39.95,0.9215969215969217,86.0,,价格因子评分 86.0；20日动量 9.19%；5/20日成交额比 1.89；收盘价相对20日均线 7.54%；创20日收盘新高；可纳入候选买入清单
2025-06-26,2025-09-18,002402,和而泰,21.21,43.95,1.072135785007072,88.0,,价格因子评分 88.0；20日动量 9.50%；5/20日成交额比 1.77；收盘价相对20日均线 9.19%；创20日收盘新高；可纳入候选买入清单
2025-06-27,2025-09-19,002402,和而泰,23.33,45.61,0.9549935705100729,92.0,,价格因子评分 92.0；20日动量 19.70%；5/20日成交额比 1.84；收盘价相对20日均线 18.93%；创20日收盘新高；可纳入候选买入清单
2025-06-30,2025-09-22,002402,和而泰,23.17,50.17,1.1652999568407423,82.0,,价格因子评分 82.0；20日动量 21.50%；5/20日成交额比 1.95；收盘价相对20日均线 16.89%；可纳入候选买入清单
2025-07-01,2025-09-23,002402,和而泰,23.32,55.19,1.3666380789022297,82.0,,价格因子评分 82.0；20日动量 23.65%；5/20日成交额比 2.04；收盘价相对20日均线 16.34%；可纳入候选买入清单
2025-07-02,2025-09-24,002402,和而泰,22.41,56.0,1.49888442659527,82.0,,价格因子评分 82.0；20日动量 18.70%；5/20日成交额比 2.09；收盘价相对20日均线 10.82%；可纳入候选买入清单
2025-07-03,2025-09-25,002402,和而泰,22.62,52.6,1.3253757736516358,82.0,,价格因子评分 82.0；20日动量 18.68%；5/20日成交额比 1.99；收盘价相对20日均线 10.89%；可纳入候选买入清单
2025-07-04,2025-09-26,002402,和而泰,22.45,48.18,1.1461024498886414,82.0,,价格因子评分 82.0；20日动量 18.28%；5/20日成交额比 1.75；收盘价相对20日均线 9.12%；可纳入候选买入清单
2025-07-07,2025-09-29,002402,和而泰,21.9,50.44,1.3031963470319634,82.0,,价格因子评分 82.0；20日动量 14.12%；5/20日成交额比 1.41；收盘价相对20日均线 5.75%；可纳入候选买入清单
2025-07-09,2025-10-09,301183,东田微,53.92,91.5,0.6969584569732936,84.0,,价格因子评分 84.0；20日动量 16.08%；5/20日成交额比 0.96；收盘价相对20日均线 7.56%；创20日收盘新高；可纳入候选买入清单
