trade_date,names,gross_exposure,turnover,symbols
2024-01-02,0,0.0,0.0,
2024-01-09,0,0.0,0.0,
2024-01-16,0,0.0,0.0,
2024-01-23,0,0.0,0.0,
2024-01-30,1,0.12,0.12,000001
2025-01-07,0,0.0,0.12,
2025-01-14,0,0.0,0.0,
2025-01-21,0,0.0,0.0,
2025-02-05,0,0.0,0.0,
2025-02-12,0,0.0,0.0,
2025-02-19,0,0.0,0.0,
2025-02-26,0,0.0,0.0,
2025-03-05,1,0.12,0.12,301232
2025-03-12,0,0.0,0.12,
2025-03-19,0,0.0,0.0,
2025-03-26,0,0.0,0.0,
2025-04-02,0,0.0,0.0,
2025-04-10,0,0.0,0.0,
2025-04-17,0,0.0,0.0,
2025-04-24,0,0.0,0.0,
2025-05-06,0,0.0,0.0,
2025-05-13,0,0.0,0.0,
2025-05-20,0,0.0,0.0,
2025-05-27,0,0.0,0.0,
2025-06-04,1,0.12,0.12,300540
2025-06-11,1,0.12,0.0,300540
2025-06-18,2,0.24,0.36,301183|002402
2025-06-25,1,0.12,0.12,002402
2025-07-02,1,0.12,0.0,002402
2025-07-09,1,0.12,0.24,301183
2025-07-16,0,0.0,0.12,
2025-07-23,0,0.0,0.0,
2025-07-30,0,0.0,0.0,
2025-08-06,1,0.12,0.12,002402
2025-08-13,0,0.0,0.12,
2025-08-20,1,0.12,0.12,002402
2025-08-27,0,0.0,0.12,
2025-09-03,0,0.0,0.0,
2025-09-10,0,0.0,0.0,
2025-09-17,0,0.0,0.0,
2025-09-24,0,0.0,0.0,
2025-10-09,0,0.0,0.0,
2025-10-16,0,0.0,0.0,
2025-10-23,0,0.0,0.0,
2025-10-30,0,0.0,0.0,
2025-11-06,0,0.0,0.0,
2025-11-13,0,0.0,0.0,
2025-11-20,0,0.0,0.0,
2025-11-27,0,0.0,0.0,
2025-12-04,0,0.0,0.0,
2025-12-11,0,0.0,0.0,
2025-12-18,0,0.0,0.0,
2025-12-25,0,0.0,0.0,
2026-01-05,0,0.0,0.0,
2026-01-12,0,0.0,0.0,
2026-01-19,0,0.0,0.0,
2026-01-26,0,0.0,0.0,
2026-02-02,0,0.0,0.0,
2026-02-09,0,0.0,0.0,
2026-02-24,0,0.0,0.0,
2026-03-03,0,0.0,0.0,
2026-03-10,0,0.0,0.0,
2026-03-17,0,0.0,0.0,
2026-03-24,0,0.0,0.0,
2026-03-31,0,0.0,0.0,
2026-04-08,0,0.0,0.0,
2026-04-15,0,0.0,0.0,
2026-04-22,0,0.0,0.0,
2026-04-29,0,0.0,0.0,
2026-05-11,0,0.0,0.0,
2026-05-18,0,0.0,0.0,
2026-05-25,0,0.0,0.0,
2026-06-01,0,0.0,0.0,
2026-06-08,0,0.0,0.0,
