trade_date,names,gross_exposure,turnover,intended_turnover,buy_turnover,sell_turnover,blocked_buys,blocked_sells,t1_blocks,symbols
2024-01-02,0,0.0,0.0,0.0,0.0,0.0,0,0,0,
2024-01-30,1,0.12,0.12,0.12,0.12,0.0,0,0,0,000001
2025-02-05,1,0.12,0.0,0.12,0.0,0.0,0,1,0,000001
2025-03-05,2,0.24,0.12,0.24,0.12,0.0,0,1,0,301232|000001
2025-04-02,2,0.24,0.24,0.36,0.12,0.12,0,1,0,000001|300540
2025-05-06,2,0.24,0.24,0.36,0.12,0.12,0,1,0,301232|000001
2025-06-04,2,0.24,0.24,0.36,0.12,0.12,0,1,0,000001|300540
2025-07-02,2,0.24,0.24,0.36,0.12,0.12,0,1,0,000001|002402
2025-07-30,1,0.12,0.12,0.24,0.0,0.12,0,1,0,000001
2025-08-27,1,0.12,0.0,0.12,0.0,0.0,0,1,0,000001
2025-09-24,2,0.24,0.12,0.24,0.12,0.0,0,1,0,000001|002402
2025-10-30,1,0.12,0.12,0.24,0.0,0.12,0,1,0,000001
2025-11-27,2,0.24,0.12,0.24,0.12,0.0,0,1,0,301232|000001
2025-12-25,2,0.24,0.0,0.12,0.0,0.0,0,1,0,000001|301232
2026-01-26,2,0.24,0.0,0.12,0.0,0.0,0,1,0,301232|000001
2026-03-03,1,0.12,0.12,0.24,0.0,0.12,0,1,0,000001
2026-03-31,2,0.24,0.12,0.24,0.12,0.0,0,1,0,301183|000001
2026-04-29,2,0.24,0.24,0.36,0.12,0.12,0,1,0,000001|300540
2026-06-01,2,0.24,0.24,0.36,0.12,0.12,0,1,0,300223|000001
