trade_date,names,gross_exposure,turnover,intended_turnover,buy_turnover,sell_turnover,blocked_buys,blocked_sells,t1_blocks,symbols
2024-01-02,0,0.0,0.0,0.0,0.0,0.0,0,0,0,
2024-01-09,0,0.0,0.0,0.0,0.0,0.0,0,0,0,
2024-01-16,0,0.0,0.0,0.0,0.0,0.0,0,0,0,
2024-01-23,0,0.0,0.0,0.0,0.0,0.0,0,0,0,
2024-01-30,1,0.1,0.1,0.1,0.1,0.0,0,0,0,000001
2025-01-07,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2025-01-14,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2025-01-21,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2025-02-05,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2025-02-12,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2025-02-19,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2025-02-26,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2025-03-05,2,0.2,0.1,0.2,0.1,0.0,0,1,0,301232|000001
2025-03-12,1,0.1,0.1,0.2,0.0,0.1,0,1,0,000001
2025-03-19,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2025-03-26,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2025-04-02,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2025-04-10,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2025-04-17,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2025-04-24,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2025-05-06,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2025-05-13,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2025-05-20,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2025-05-27,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2025-06-04,2,0.2,0.1,0.2,0.1,0.0,0,1,0,300540|000001
2025-06-11,2,0.2,0.0,0.1,0.0,0.0,0,1,0,300540|000001
2025-06-18,2,0.2,0.2,0.30000000000000004,0.1,0.1,0,1,0,301183|000001
2025-06-25,2,0.2,0.2,0.30000000000000004,0.1,0.1,0,1,0,002402|000001
2025-07-02,2,0.2,0.0,0.1,0.0,0.0,0,1,0,000001|002402
2025-07-09,2,0.2,0.2,0.30000000000000004,0.1,0.1,0,1,0,301183|000001
2025-07-16,1,0.1,0.1,0.2,0.0,0.1,0,1,0,000001
2025-07-23,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2025-07-30,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2025-08-06,2,0.2,0.1,0.2,0.1,0.0,0,1,0,002402|000001
2025-08-13,1,0.1,0.1,0.2,0.0,0.1,0,1,0,000001
2025-08-20,2,0.2,0.1,0.2,0.1,0.0,0,1,0,002402|000001
2025-08-27,1,0.1,0.1,0.2,0.0,0.1,0,1,0,000001
2025-09-03,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2025-09-10,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2025-09-17,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2025-09-24,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2025-10-09,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2025-10-16,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2025-10-23,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2025-10-30,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2025-11-06,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2025-11-13,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2025-11-20,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2025-11-27,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2025-12-04,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2025-12-11,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2025-12-18,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2025-12-25,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2026-01-05,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2026-01-12,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2026-01-19,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2026-01-26,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2026-02-02,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2026-02-09,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2026-02-24,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2026-03-03,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2026-03-10,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2026-03-17,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2026-03-24,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2026-03-31,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2026-04-08,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2026-04-15,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2026-04-22,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2026-04-29,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2026-05-11,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2026-05-18,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2026-05-25,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2026-06-01,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
2026-06-08,1,0.1,0.0,0.1,0.0,0.0,0,1,0,000001
