pool_rank,trade_date,symbol,name,close,price_factor_score,action,target_weight,recommendation_tier,model_version,risk_flags,reason,review_required,amount,amount_yi,pct_change,intraday_position_pct,amplitude_pct_display,gap_pct_display,strength_score,liquidity_score,close_position_score,stability_score,tradability_score,source_time
1,2026-06-14,300657,弘信电子,46.9,87.17,buy,0.05,core_candidate,quality_first_v2,,全A实时初筛评分 87.2；涨跌幅 6.57%；成交额 37.72亿；日内收盘位置 96%；振幅 5.77%；核心候选，入选原因是强势、流动性、收盘位置和可交易性综合较优,True,3771737707.0,37.72,6.567,96.1,5.77,1.82,0.7952857142857143,0.9092140921409214,0.9606299212598419,0.6857153677194578,1.0,15:35:45
2,2026-06-14,603629,利通电子,152.15,85.95,buy,0.05,core_candidate,quality_first_v2,,全A实时初筛评分 86.0；涨跌幅 9.22%；成交额 49.54亿；日内收盘位置 91%；振幅 8.78%；核心候选，入选原因是强势、流动性、收盘位置和可交易性综合较优,True,4953552204.0,49.54,9.225,91.2,8.78,3.02,0.8928125,0.9424119241192412,0.9116925592804591,0.43503230437903884,1.0,15:00:00
3,2026-06-14,000960,锡业股份,37.65,85.35,buy,0.05,core_candidate,quality_first_v2,,全A实时初筛评分 85.3；涨跌幅 8.00%；成交额 52.01亿；日内收盘位置 76%；振幅 8.35%；核心候选，入选原因是强势、流动性、收盘位置和可交易性综合较优,True,5200592483.0,52.01,8.003,75.9,8.35,3.79,0.9997375,0.9444444444444444,0.7594501718213051,0.4710269650028678,1.0,15:00:00
4,2026-06-14,300033,同花顺,207.46,85.16,buy,0.05,core_candidate,quality_first_v2,,全A实时初筛评分 85.2；涨跌幅 7.47%；成交额 55.54亿；日内收盘位置 79%；振幅 9.28%；核心候选，入选原因是强势、流动性、收盘位置和可交易性综合较优,True,5553820427.0,55.54,7.47,78.5,9.28,1.53,0.9242857142857143,0.9478319783197832,0.7850362925739813,0.3935108440392322,1.0,15:35:30
5,2026-06-14,601872,招商轮船,15.6,84.87,buy,0.05,core_candidate,quality_first_v2,,全A实时初筛评分 84.9；涨跌幅 8.18%；成交额 28.10亿；日内收盘位置 76%；振幅 7.56%；核心候选，入选原因是强势、流动性、收盘位置和可交易性综合较优,True,2810237751.0,28.1,8.183,76.1,7.56,2.43,0.9839875,0.8678861788617886,0.7614678899082571,0.5367545076282941,1.0,15:00:03
6,2026-06-14,600760,中航沈飞,44.61,84.76,buy,0.05,core_candidate,quality_first_v2,,全A实时初筛评分 84.8；涨跌幅 7.18%；成交额 21.11亿；日内收盘位置 87%；振幅 7.30%；核心候选，入选原因是强势、流动性、收盘位置和可交易性综合较优,True,2110641028.0,21.11,7.184,87.2,7.3,0.82,0.8834285714285715,0.8136856368563685,0.8717105263157893,0.5579849431363129,1.0,15:00:01
7,2026-06-14,603608,天创时尚,26.39,84.31,buy,0.05,core_candidate,quality_first_v2,,全A实时初筛评分 84.3；涨跌幅 7.93%；成交额 12.46亿；日内收盘位置 100%；振幅 9.94%；核心候选，入选原因是强势、流动性、收盘位置和可交易性综合较优,True,1245615357.0,12.46,7.935,100.0,9.94,0.86,0.9907142857142857,0.6747967479674797,1.0,0.3384458077709612,1.0,15:00:01
8,2026-06-14,300661,圣邦股份,111.44,84.29,buy,0.05,core_candidate,quality_first_v2,,全A实时初筛评分 84.3；涨跌幅 5.91%；成交额 34.40亿；日内收盘位置 100%；振幅 6.10%；核心候选，入选原因是强势、流动性、收盘位置和可交易性综合较优,True,3440103395.0,34.4,5.911,100.0,6.1,2.64,0.7015714285714285,0.8949864498644986,1.0,0.6582081986947981,1.0,15:35:45
9,2026-06-14,002192,融捷股份,89.74,84.04,buy,0.05,core_candidate,quality_first_v2,,全A实时初筛评分 84.0；涨跌幅 7.41%；成交额 40.41亿；日内收盘位置 79%；振幅 10.98%；核心候选，入选原因是强势、流动性、收盘位置和可交易性综合较优,True,4041356659.0,40.41,7.409,79.0,10.98,0.13,0.9155714285714286,0.9180216802168022,0.7895310796074148,0.25204468382206247,1.0,15:00:00
10,2026-06-14,600309,万华化学,71.67,83.84,buy,0.05,core_candidate,quality_first_v2,,全A实时初筛评分 83.8；涨跌幅 6.73%；成交额 42.41亿；日内收盘位置 81%；振幅 8.98%；核心候选，入选原因是强势、流动性、收盘位置和可交易性综合较优,True,4241418179.0,42.41,6.731,80.8,8.98,0.07,0.8187142857142857,0.924119241192412,0.8076285240464351,0.41834202035244483,1.0,15:00:03
11,2026-06-14,002611,东方精工,18.41,83.34,buy,0.05,core_candidate,quality_first_v2,,全A实时初筛评分 83.3；涨跌幅 8.17%；成交额 19.59亿；日内收盘位置 81%；振幅 9.58%；核心候选，入选原因是强势、流动性、收盘位置和可交易性综合较优,True,1958914751.0,19.59,8.167,81.0,9.58,1.35,0.9853875,0.7981029810298103,0.809815950920246,0.36858597728163,1.0,15:00:00
12,2026-06-14,301377,鼎泰高科,471.3,82.58,buy,0.05,core_candidate,quality_first_v2,,全A实时初筛评分 82.6；涨跌幅 9.38%；成交额 30.50亿；日内收盘位置 84%；振幅 8.95%；核心候选，入选原因是强势、流动性、收盘位置和可交易性综合较优,True,3049840988.0,30.5,9.378,84.3,8.95,3.0,0.879425,0.8814363143631436,0.8425829875518674,0.42092336017699805,1.0,15:35:30
13,2026-06-14,600988,赤峰黄金,30.37,82.04,buy,0.05,core_candidate,quality_first_v2,,全A实时初筛评分 82.0；涨跌幅 7.47%；成交额 28.73亿；日内收盘位置 74%；振幅 7.50%；核心候选，入选原因是强势、流动性、收盘位置和可交易性综合较优,True,2872817675.0,28.73,7.466,73.6,7.5,3.54,0.9237142857142857,0.8705962059620597,0.7358490566037743,0.5415192262326018,1.0,15:00:03
