symbol,name,trade_date,open,high,low,close,volume,amount,outstanding_share,turnover
002402,和而泰,2025-01-02,18.09,18.28,17.31,17.6,75915390.0,1353658529.0,801381248.0,0.09473067929835063
002402,和而泰,2025-01-03,17.64,17.71,16.47,16.51,77811239.0,1318578246.0,801381248.0,0.0970964059792924
002402,和而泰,2025-01-06,16.51,16.83,16.18,16.4,55386530.0,911869599.0,801381248.0,0.06911383331994311
002402,和而泰,2025-01-07,16.4,16.83,16.3,16.8,58217108.0,967833981.0,801381248.0,0.07264595739579871
002402,和而泰,2025-01-08,16.6,17.05,16.04,16.8,69048867.0,1143972907.0,801381248.0,0.08616231933592736
002402,和而泰,2025-01-09,16.68,17.54,16.66,17.33,89611541.0,1549289165.0,801381248.0,0.11182135996274273
002402,和而泰,2025-01-10,17.32,17.84,16.9,16.9,80908400.0,1407482197.0,801381248.0,0.1009611844573633
002402,和而泰,2025-01-13,16.62,16.84,16.15,16.64,51512105.0,850536350.0,801381248.0,0.06427914944173987
002402,和而泰,2025-01-14,16.85,17.94,16.59,17.93,83708005.0,1467063256.0,801381248.0,0.1044546590139329
002402,和而泰,2025-01-15,17.93,17.95,17.51,17.65,56117979.0,992805919.0,801381248.0,0.07002656867758403
002402,和而泰,2025-01-16,17.71,18.04,17.32,17.54,54632925.0,964997362.0,801381248.0,0.06817345069696465
002402,和而泰,2025-01-17,17.4,17.99,17.37,17.72,60658200.0,1077701634.0,801381248.0,0.07569206311151419
002402,和而泰,2025-01-20,17.73,18.09,17.62,17.78,55156925.0,983654154.0,801381248.0,0.06882732174936042
002402,和而泰,2025-01-21,17.88,18.61,17.76,18.35,86021800.0,1563734212.0,801381248.0,0.1073419177385094
002402,和而泰,2025-01-22,18.14,18.14,17.7,17.78,58531310.0,1045694915.0,801381248.0,0.07303803295382325
002402,和而泰,2025-01-23,18.05,18.29,17.58,17.58,59745097.0,1074948664.0,801381248.0,0.07455265162381239
002402,和而泰,2025-01-24,17.61,18.44,17.55,18.24,66299283.0,1194621366.0,801381248.0,0.08273126326010563
002402,和而泰,2025-01-27,18.25,18.28,17.55,17.56,44888600.0,800130512.0,801381248.0,0.05601403840185689
002402,和而泰,2025-02-05,17.9,18.42,17.76,18.2,68569483.0,1247998190.0,801381248.0,0.08556412215924473
002402,和而泰,2025-02-06,18.06,18.99,17.93,18.92,83974312.0,1570765890.0,801381248.0,0.10478696901078474
002402,和而泰,2025-02-07,18.92,19.46,18.72,19.15,100325412.0,1913404267.0,801381248.0,0.12519061589022856
002402,和而泰,2025-02-10,19.07,19.3,18.99,19.12,69232807.0,1323569956.0,801381248.0,0.0863918480408466
002402,和而泰,2025-02-11,19.14,19.16,18.8,18.84,53472798.0,1012575191.0,801381248.0,0.06672579141757008
002402,和而泰,2025-02-12,18.81,20.69,18.65,20.15,135929351.0,2702780355.0,801381248.0,0.1696188316600091
002402,和而泰,2025-02-13,20.19,20.28,19.61,19.68,76911700.0,1527618214.0,801381248.0,0.0959739202682217
002402,和而泰,2025-02-14,19.68,19.88,19.25,19.57,62137765.0,1216601049.0,801381248.0,0.07753833166807517
002402,和而泰,2025-02-17,19.57,20.49,19.57,20.2,96456688.0,1943061047.0,801381248.0,0.12036304597933392
002402,和而泰,2025-02-18,20.02,20.17,19.13,19.2,71845669.0,1412237203.0,801381248.0,0.08965229618150486
002402,和而泰,2025-02-19,19.12,19.7,19.12,19.58,56671774.0,1106355464.0,801381248.0,0.07071761928724342
002402,和而泰,2025-02-20,19.8,21.3,19.7,20.72,129274803.0,2666663365.0,801381248.0,0.16131498375165373
002402,和而泰,2025-02-21,20.78,21.78,20.46,21.34,129283050.0,2724613243.0,801381248.0,0.16132527473365585
002402,和而泰,2025-02-24,21.64,22.1,21.11,21.44,111188649.0,2400130736.0,801381248.0,0.13874625751163072
002402,和而泰,2025-02-25,20.86,21.43,20.71,20.98,73271943.0,1541601166.0,801381248.0,0.09143206580246808
002402,和而泰,2025-02-26,21.09,23.08,20.65,23.08,148095387.0,3276030344.0,801381248.0,0.18480016517681233
002402,和而泰,2025-02-27,24.55,25.13,23.43,24.01,238198279.0,5761973043.0,801381248.0,0.29723465528357357
002402,和而泰,2025-02-28,24.15,24.46,21.61,21.61,161872935.0,3654416030.0,801381248.0,0.20199241672298276
002402,和而泰,2025-03-03,21.58,21.74,20.35,20.56,110373115.0,2304483674.0,801381248.0,0.1377285970634541
002402,和而泰,2025-03-04,20.25,21.06,20.25,20.78,65234500.0,1353370964.0,801381248.0,0.08140257856395462
002402,和而泰,2025-03-05,20.78,21.12,20.65,21.01,60613701.0,1266142660.0,801381248.0,0.07563653523372686
002402,和而泰,2025-03-06,21.39,22.24,21.24,21.83,92925534.0,2033456772.0,801381248.0,0.11595671128057142
002402,和而泰,2025-03-07,21.55,21.88,21.11,21.4,68129854.0,1464989270.0,801381248.0,0.08501553308120331
002402,和而泰,2025-03-10,21.27,21.96,21.13,21.44,56991662.0,1224496898.0,801381248.0,0.07111679009489376
002402,和而泰,2025-03-11,21.0,21.39,20.86,21.26,46703574.0,986485550.0,801381248.0,0.05827884557638164
002402,和而泰,2025-03-12,21.56,22.88,21.34,22.27,104686648.0,2330772373.0,801381248.0,0.1306327646937903
002402,和而泰,2025-03-13,22.4,23.58,21.77,22.94,114625885.0,2578783937.0,801381248.0,0.14303539705486096
002402,和而泰,2025-03-14,22.65,23.19,22.38,22.86,80496567.0,1837806992.0,801381248.0,0.10044728049339133
002402,和而泰,2025-03-17,22.88,23.39,22.65,23.12,62858705.0,1449555845.0,801381248.0,0.07843795341714808
002402,和而泰,2025-03-18,23.0,23.36,22.44,22.46,71201090.0,1623073169.0,801381248.0,0.08884796116417239
002402,和而泰,2025-03-19,22.28,22.86,22.21,22.25,43317044.0,972977402.0,801381248.0,0.05405297928808037
002402,和而泰,2025-03-20,22.18,22.44,21.84,21.86,47552460.0,1051390660.0,801381248.0,0.05933812416833592
002402,和而泰,2025-03-21,21.66,21.67,20.76,20.83,68489048.0,1440713467.0,801381248.0,0.08546375170485647
002402,和而泰,2025-03-24,20.8,21.03,20.09,20.77,48582966.0,996522458.0,801381248.0,0.0606240364636034
002402,和而泰,2025-03-25,20.77,21.07,20.38,20.46,32953701.0,681554594.0,801381248.0,0.04112112815497275
002402,和而泰,2025-03-26,20.46,20.74,20.37,20.49,24048578.0,493655213.0,801381248.0,0.030008910315805142
002402,和而泰,2025-03-27,20.38,20.74,20.05,20.29,30151116.0,615419054.0,801381248.0,0.03762393501875402
002402,和而泰,2025-03-28,20.3,20.47,20.12,20.22,21107918.0,428345189.0,801381248.0,0.026339420909434606
002402,和而泰,2025-03-31,20.02,20.08,19.51,19.87,33895019.0,670229326.0,801381248.0,0.04229574760401681
002402,和而泰,2025-04-01,19.93,20.0,19.61,19.64,23703750.0,469203069.0,801381248.0,0.02957861824089001
002402,和而泰,2025-04-02,19.71,20.14,19.61,19.82,26243908.0,520835575.0,801381248.0,0.03274834302087388
002402,和而泰,2025-04-03,19.51,20.08,19.35,19.43,28206350.0,554116177.0,801381248.0,0.03519716747851829
002402,和而泰,2025-04-07,17.49,17.85,17.49,17.49,18201250.0,319276096.0,801381248.0,0.022712348267974445
002402,和而泰,2025-04-08,16.14,16.99,15.74,15.74,85754528.0,1375186965.0,801381248.0,0.10700840357073092
002402,和而泰,2025-04-09,16.17,16.95,15.08,16.71,83080131.0,1350237854.0,801381248.0,0.10367116925600935
002402,和而泰,2025-04-10,17.29,17.69,17.11,17.13,65180130.0,1133679544.0,801381248.0,0.08133473320304095
002402,和而泰,2025-04-11,16.92,18.05,16.88,17.67,56464078.0,990346553.0,801381248.0,0.07045844676415489
002402,和而泰,2025-04-14,18.25,18.34,17.89,18.0,42690280.0,772250419.0,801381248.0,0.05327087463868383
002402,和而泰,2025-04-15,18.0,19.8,17.7,19.18,88894036.0,1672252161.0,801381248.0,0.11092602456303045
002402,和而泰,2025-04-16,18.9,18.99,18.18,18.37,59097120.0,1093839485.0,801381248.0,0.07374407642740351
002402,和而泰,2025-04-17,18.15,18.83,18.15,18.4,42000699.0,774782675.0,801381248.0,0.05241038407726755
002402,和而泰,2025-04-18,18.39,19.33,18.39,18.92,51558941.0,978057277.0,801381248.0,0.06433759353450706
002402,和而泰,2025-04-21,18.9,19.21,18.61,19.13,37328861.0,711036012.0,801381248.0,0.046580651959552716
002402,和而泰,2025-04-22,19.0,19.98,18.91,19.44,62312180.0,1218320079.0,801381248.0,0.07775597464441793
002402,和而泰,2025-04-23,19.59,19.61,19.2,19.36,49199550.0,956164194.0,801381248.0,0.06139343804560798
002402,和而泰,2025-04-24,19.35,19.87,19.03,19.14,42490926.0,822826041.0,801381248.0,0.053022111642921796
002402,和而泰,2025-04-25,19.28,19.53,19.13,19.21,32601426.0,629486394.0,801381248.0,0.04068154337447137
002402,和而泰,2025-04-28,19.25,19.25,18.9,19.0,25489456.0,485245759.0,801381248.0,0.03180690347274011
002402,和而泰,2025-04-29,18.81,19.2,18.62,18.9,27421479.0,521192139.0,801381248.0,0.03421776971751653
002402,和而泰,2025-04-30,19.0,19.84,19.0,19.74,54347666.0,1059993373.0,806286248.0,0.06740492738752503
002402,和而泰,2025-05-06,19.89,20.33,19.67,20.2,49327603.0,987543670.0,806286248.0,0.06117877257904069
002402,和而泰,2025-05-07,20.41,20.58,19.85,20.13,44858504.0,904975144.0,806286248.0,0.05563595325019111
002402,和而泰,2025-05-08,20.11,20.78,19.96,20.51,45715009.0,935071625.0,806286248.0,0.056698237274164696
002402,和而泰,2025-05-09,20.66,21.04,20.23,20.74,55792637.0,1154208195.0,806286248.0,0.0691970589085379
002402,和而泰,2025-05-12,21.0,21.11,20.63,20.83,38947097.0,808606596.0,806286248.0,0.04830430519757544
002402,和而泰,2025-05-13,21.0,21.04,20.51,20.53,35190023.0,728543189.0,806286248.0,0.04364457794894699
002402,和而泰,2025-05-14,20.58,20.69,20.42,20.47,29650558.0,608821757.0,806286248.0,0.03677423256758808
002402,和而泰,2025-05-15,19.0,19.26,18.8,18.86,75096819.0,1427939038.0,806286248.0,0.09313915397450757
002402,和而泰,2025-05-16,18.8,19.38,18.76,19.21,42663836.0,819260239.0,806286248.0,0.05291400678831868
002402,和而泰,2025-05-19,19.18,19.18,18.8,19.08,25904854.0,491953628.0,806286248.0,0.032128607010546456
002402,和而泰,2025-05-20,19.08,19.22,18.9,19.11,22105098.0,421872826.0,806286248.0,0.027415943227150266
002402,和而泰,2025-05-21,19.12,19.18,18.93,18.96,16389857.0,311247598.0,806286248.0,0.02032759090292707
002402,和而泰,2025-05-22,18.9,19.14,18.78,18.8,19153800.0,362155537.0,806286248.0,0.023755583141236956
002402,和而泰,2025-05-23,18.86,18.94,18.48,18.51,21356600.0,399490623.0,806286248.0,0.026487615351217055
002402,和而泰,2025-05-26,18.48,19.22,18.44,18.98,35188706.0,663528077.0,806286248.0,0.0436429445340112
002402,和而泰,2025-05-27,18.88,19.18,18.69,19.04,27013661.0,512515562.0,806286248.0,0.03350380967926418
002402,和而泰,2025-05-28,19.03,19.99,18.96,19.37,52935281.0,1032084592.0,806286248.0,0.06565321079369321
002402,和而泰,2025-05-29,19.28,19.66,19.25,19.49,27366464.0,533004044.0,806286248.0,0.03394137512314361
002402,和而泰,2025-05-30,19.39,19.48,18.95,19.07,26315473.0,502888320.0,806286248.0,0.03263787899803049
002402,和而泰,2025-06-03,18.85,19.04,18.81,18.86,17406882.0,329239006.0,806286248.0,0.02158896054990138
002402,和而泰,2025-06-04,18.89,19.07,18.86,18.88,14996347.0,284173841.0,806286248.0,0.018599284109332842
002402,和而泰,2025-06-05,18.9,19.13,18.67,19.06,28859877.0,546178766.0,806286248.0,0.035793587043791424
002402,和而泰,2025-06-06,18.98,19.06,18.9,18.98,14693935.0,278815283.0,806286248.0,0.018224216320752627
002402,和而泰,2025-06-09,19.04,19.44,18.99,19.19,22396564.0,430110026.0,806286248.0,0.027777435191974155
002402,和而泰,2025-06-10,19.2,19.24,18.53,18.78,26550350.0,500574420.0,806286248.0,0.03292918621129701
002402,和而泰,2025-06-11,18.9,19.07,18.81,18.82,15708450.0,297151388.0,806286248.0,0.019482472929390704
002402,和而泰,2025-06-12,18.71,18.82,18.63,18.66,17418607.0,325793376.0,806286248.0,0.021603502531770825
002402,和而泰,2025-06-13,18.5,18.57,18.1,18.3,25993442.0,475172044.0,806286248.0,0.03223847866000066
002402,和而泰,2025-06-16,18.1,18.45,18.08,18.37,14815500.0,271558277.0,806286248.0,0.01837498783682591
002402,和而泰,2025-06-17,18.34,19.1,18.25,18.67,34879278.0,654239970.0,806286248.0,0.043259175121141344
002402,和而泰,2025-06-18,18.8,20.23,18.73,19.93,78873099.0,1544225748.0,806286248.0,0.09782270154755263
002402,和而泰,2025-06-19,20.32,20.6,19.68,20.1,89102070.0,1789515523.0,806286248.0,0.1105092269910574
002402,和而泰,2025-06-20,20.15,20.4,19.81,19.98,64382036.0,1292174452.0,806286248.0,0.07985009810064378
002402,和而泰,2025-06-23,19.88,20.9,19.81,20.59,68050346.0,1394958273.0,806286248.0,0.0843997354150582
002402,和而泰,2025-06-24,20.59,21.28,20.39,20.77,73959436.0,1543667129.0,806286248.0,0.09172850979842087
002402,和而泰,2025-06-25,20.7,20.92,20.58,20.79,55414550.0,1149305748.0,806286248.0,0.06872813487450179
002402,和而泰,2025-06-26,20.8,21.64,20.8,21.21,75123387.0,1600791205.0,806286248.0,0.09317210505120757
002402,和而泰,2025-06-27,21.4,23.33,21.33,23.33,105416281.0,2391946147.0,806286248.0,0.13074299761590377
002402,和而泰,2025-06-30,23.79,23.79,22.73,23.17,139816672.0,3249420172.0,805831823.0,0.17350601950600802
002402,和而泰,2025-07-01,23.81,24.3,22.98,23.32,155869834.0,3692635431.0,805831823.0,0.19342725063862365
002402,和而泰,2025-07-02,22.91,23.87,22.36,22.41,118017208.0,2705155811.0,805831823.0,0.1464538935191692
002402,和而泰,2025-07-03,22.54,22.88,22.42,22.62,62733114.0,1420193886.0,805831823.0,0.07784889130644324
002402,和而泰,2025-07-04,22.6,22.9,22.32,22.45,49377300.0,1113018969.0,805831823.0,0.061274944213763075
002402,和而泰,2025-07-07,22.33,22.44,21.84,21.9,51213900.0,1125599205.0,805831823.0,0.06355407981945632
002402,和而泰,2025-07-08,21.95,22.1,21.81,21.92,37549684.0,823704268.0,805831823.0,0.046597420117026084
002402,和而泰,2025-07-09,21.99,22.06,21.53,21.59,42516145.0,922752665.0,805831823.0,0.052760568379787105
002402,和而泰,2025-07-10,21.59,21.78,21.48,21.65,33617064.0,726454049.0,805831823.0,0.04171722069109698
002402,和而泰,2025-07-11,22.05,22.12,21.56,21.85,59684538.0,1300307557.0,805831823.0,0.07406574957266239
002402,和而泰,2025-07-14,21.81,22.05,21.66,21.85,32909775.0,719454727.0,805831823.0,0.04083950777406814
002402,和而泰,2025-07-15,21.81,22.77,21.79,22.64,83830883.0,1878333926.0,805831823.0,0.10403024627137368
002402,和而泰,2025-07-16,22.64,22.65,22.13,22.27,45655894.0,1018469272.0,805831823.0,0.056656851587257306
002402,和而泰,2025-07-17,22.26,22.4,22.03,22.37,33603856.0,747436928.0,805831823.0,0.041700830174337754
002402,和而泰,2025-07-18,22.43,22.64,22.31,22.57,36823671.0,827588635.0,805831823.0,0.04569647158250786
002402,和而泰,2025-07-21,22.55,23.11,22.31,22.99,51258996.0,1171194857.0,805831823.0,0.06361004186850039
002402,和而泰,2025-07-22,23.0,23.08,22.37,22.59,45947133.0,1041237679.0,805831823.0,0.05701826570827794
002402,和而泰,2025-07-23,22.39,24.5,22.27,23.5,95295736.0,2230254268.0,805831823.0,0.11825759827308284
002402,和而泰,2025-07-24,23.25,23.87,23.25,23.72,57760852.0,1363441986.0,805831823.0,0.0716785442711413
002402,和而泰,2025-07-25,23.64,23.88,23.43,23.56,39478284.0,932409468.0,805831823.0,0.04899072346513672
002402,和而泰,2025-07-28,23.7,25.39,23.46,25.04,94192563.0,2306325816.0,805831823.0,0.11688861163280219
002402,和而泰,2025-07-29,24.8,25.18,24.68,25.08,59795148.0,1491578448.0,805831823.0,0.07420301146384485
002402,和而泰,2025-07-30,25.05,25.7,24.51,24.74,67386654.0,1687522388.0,805831823.0,0.08362371908958477
002402,和而泰,2025-07-31,24.53,25.18,24.21,24.34,67892749.0,1672738027.0,805831823.0,0.084251759563484
002402,和而泰,2025-08-01,24.59,25.97,24.46,25.14,94843669.0,2400958595.0,805831823.0,0.11769660404687195
002402,和而泰,2025-08-04,25.29,25.98,25.17,25.74,71462107.0,1832675056.0,805831823.0,0.08868116765847804
002402,和而泰,2025-08-05,25.64,26.85,25.41,26.66,87065850.0,2285298249.0,805831823.0,0.10804469061033843
002402,和而泰,2025-08-06,26.68,29.24,26.22,27.66,133354034.0,3718976322.0,805831823.0,0.16548618482643368
002402,和而泰,2025-08-07,27.51,27.91,26.85,26.87,89913166.0,2445776088.0,805831823.0,0.11157807799804402
002402,和而泰,2025-08-08,26.8,27.05,26.62,26.77,51820707.0,1392090244.0,805831823.0,0.06430709922459839
002402,和而泰,2025-08-11,26.99,27.4,26.76,26.95,57228767.0,1551609605.0,805831823.0,0.07101825141000916
002402,和而泰,2025-08-12,26.95,27.97,26.63,27.97,82297933.0,2246847761.0,805831823.0,0.10212792626334391
002402,和而泰,2025-08-13,28.0,29.2,27.61,28.74,86537939.0,2454162097.0,805831823.0,0.10738957749004162
002402,和而泰,2025-08-14,28.75,31.61,28.58,30.97,208712688.0,6534563812.0,805831823.0,0.2590027869872297
002402,和而泰,2025-08-15,30.38,30.98,29.7,29.98,168390053.0,5092758200.0,805831823.0,0.20896426300602924
002402,和而泰,2025-08-18,30.25,32.08,30.25,31.65,133793179.0,4204312682.0,805831823.0,0.16603114344864983
002402,和而泰,2025-08-19,31.66,31.94,30.52,30.83,110730830.0,3443604139.0,805831823.0,0.13741183562069378
002402,和而泰,2025-08-20,31.17,33.61,30.92,32.83,134820727.0,4338015464.0,805831823.0,0.16730628296370967
002402,和而泰,2025-08-21,33.24,34.44,32.58,32.85,125142899.0,4181240206.0,805831823.0,0.15529654628692915
002402,和而泰,2025-08-22,34.09,36.14,33.84,36.14,175015873.0,6237507789.0,805831823.0,0.21718659899585524
002402,和而泰,2025-08-25,39.03,39.75,38.5,39.75,71066504.0,2808497063.0,805831823.0,0.0881902426432221
002402,和而泰,2025-08-26,40.11,42.1,39.44,40.51,229735328.0,9367981282.0,805831823.0,0.2850909103399854
002402,和而泰,2025-08-27,41.15,41.64,38.58,38.59,183334556.0,7281010691.0,805831823.0,0.2275096996262457
