ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000001.SZ,20260529,10.65,10.93,10.62,10.93,10.66,0.27,2.5328,1399367.8,1515692.06828
000002.SZ,20260529,3.33,3.64,3.33,3.55,3.31,0.24,7.2508,4514928.47,1612850.37115
000006.SZ,20260529,9.64,9.8,9.05,9.1,9.57,-0.47,-4.9112,415295.72,390598.52775
000007.SZ,20260529,12.0,12.09,11.19,11.33,11.89,-0.56,-4.7098,112212.0,129324.892
000008.SZ,20260529,2.55,2.59,2.55,2.57,2.56,0.01,0.3906,271762.08,69870.44748
000009.SZ,20260529,7.45,7.52,7.36,7.4,7.45,-0.05,-0.6711,207237.07,154124.16573
000010.SZ,20260529,1.95,2.1,1.94,2.1,2.0,0.1,5.0,261765.2,53234.818
000011.SZ,20260529,7.32,7.66,7.32,7.35,7.29,0.06,0.823,63088.36,46973.33688
000012.SZ,20260529,4.4,4.43,4.01,4.05,4.38,-0.33,-7.5342,905492.39,374885.42904
000014.SZ,20260529,10.75,11.19,10.64,10.67,10.76,-0.09,-0.8364,86958.4,94695.7482
000016.SZ,20260529,3.45,3.58,3.44,3.46,3.46,0.0,0.0,321171.8,112444.75483
000017.SZ,20260529,5.53,5.54,5.37,5.41,5.5,-0.09,-1.6364,66294.0,36187.959
000019.SZ,20260529,6.39,6.53,6.37,6.45,6.42,0.03,0.4673,88403.58,57214.46542
000020.SZ,20260529,12.7,12.76,12.38,12.46,12.68,-0.22,-1.735,43249.37,54181.23031
000021.SZ,20260529,42.37,43.85,38.59,39.79,42.65,-2.86,-6.7057,2284569.06,9409421.6382
000025.SZ,20260529,14.26,15.66,14.2,15.66,14.24,1.42,9.9719,127534.08,194152.49191
000026.SZ,20260529,23.2,25.22,23.01,23.95,23.06,0.89,3.8595,273393.4,665502.3726
000027.SZ,20260529,7.98,8.45,7.92,8.08,8.05,0.03,0.3727,1597677.59,1313402.42209
000028.SZ,20260529,23.07,23.71,23.0,23.62,22.99,0.63,2.7403,34420.02,80676.7645
000029.SZ,20260529,25.13,25.7,24.53,24.75,25.08,-0.33,-1.3158,111079.24,277748.2071
