ts_code,trade_date,turnover_rate,volume_ratio,pe_ttm,pb,ps_ttm,dv_ttm,total_mv,circ_mv
920553.BJ,20260127,1.8498,0.73,61.6808,4.3613,3.3902,0.7463,154036.1731,98479.5137
688690.SH,20260127,1.6104,1.03,76.3572,6.053,12.5597,0.2225,1134719.4897,1134719.4897
300995.SZ,20260127,3.6534,0.86,210.5299,5.4042,9.2579,0.5644,334904.5028,238961.1064
688533.SH,20260127,1.7976,0.97,30.2325,3.3065,1.8711,1.3428,545736.0019,545736.0019
301158.SZ,20260127,6.104,1.08,27.9059,2.6697,5.131,1.3357,366001.8213,356630.7291
601118.SH,20260127,2.5273,0.95,98.7159,2.9398,0.5618,0.1637,2850098.9128,2850098.9128
603285.SH,20260127,6.817,0.48,38.3556,3.0804,8.2798,0.6196,516480.0,201094.0058
000989.SZ,20260127,1.5772,1.3,60.1171,2.0984,3.9584,3.3141,766068.1007,621267.6089
601179.SH,20260127,8.3522,0.7,65.417,3.4867,3.2909,0.4483,7888732.9397,7888732.9397
300453.SZ,20260127,3.1923,1.41,20.3095,3.5977,3.1311,3.1555,496502.1455,342226.589
300991.SZ,20260127,2.2261,0.82,224.9948,8.9776,7.9678,0.0754,572976.0,366633.018
301008.SZ,20260127,4.3436,1.12,141.644,3.212,4.1882,0.2346,480635.0688,425144.6688
002194.SZ,20260127,5.1416,0.65,,3.7198,6.3787,0.5174,924485.6955,691239.2776
002322.SZ,20260127,1.8262,0.88,21.399,1.8822,4.5277,4.7707,489076.4239,470172.7705
300056.SZ,20260127,6.5846,0.72,,23.9789,7.7718,,353880.2267,353567.9231
300567.SZ,20260127,8.064,1.02,,11.7931,13.8674,,4167364.0507,3382335.2627
002231.SZ,20260127,0.6658,0.8,,2.7957,3.5977,,22892.1011,20316.4973
688502.SH,20260127,6.8072,0.77,387.4052,18.2572,34.844,0.0813,2197430.4,699182.4
600795.SH,20260127,1.9098,0.9,11.2299,1.4014,0.4884,4.4968,8329234.1113,8329234.1113
300965.SZ,20260127,1.7554,0.87,115.1823,3.1478,18.4198,0.9092,382740.0,355398.0113
300922.SZ,20260127,3.429,0.94,89.5637,4.0598,15.2627,0.7378,378806.991,297484.638
300614.SZ,20260127,5.5563,0.9,,2.3293,6.0017,,246436.8829,246436.8829
001696.SZ,20260127,2.5097,0.78,30.2207,4.563,1.976,0.9153,2501883.8202,1947705.1216
000712.SZ,20260127,1.6552,1.03,67.2127,4.2108,13.1034,,1068032.0,1067715.077
000679.SZ,20260127,1.0543,0.74,,13.0355,5.0833,,257320.8,257320.8
603290.SH,20260127,4.0408,1.29,57.1731,3.8543,6.721,0.5714,2665339.6766,2665339.6766
603207.SH,20260127,5.9247,2.15,23.3588,5.2957,9.8833,7.0831,498699.2575,168966.4
603039.SH,20260127,2.537,1.02,82.3669,7.9957,7.8464,0.2168,1785131.0501,1785131.0501
601929.SH,20260127,4.0175,0.69,,2.6427,6.5329,,1322629.7157,1322629.7157
002101.SZ,20260127,1.4055,0.99,23.2834,1.0666,0.9161,2.494,833792.1799,831076.3097
688633.SH,20260127,1.2705,1.37,28.7175,2.3335,5.5084,1.3374,374951.7662,374951.7662
300269.SZ,20260127,19.9701,1.68,151.8283,44.4513,8.2721,,477729.0278,457341.2546
301588.SZ,20260127,7.6377,1.05,56.5901,2.7507,2.9866,0.647,257229.8197,158749.272
601828.SH,20260127,0.7575,0.86,,0.2642,1.7068,,1140939.9603,946723.1242
300774.SZ,20260127,6.5112,0.66,133.6578,7.5189,10.165,0.7212,1133501.6292,540403.4906
000933.SZ,20260127,1.9325,1.18,17.2976,3.0741,1.7937,1.5165,7365489.4067,7360596.4749
600396.SH,20260127,1.3362,0.97,70.3701,3.3248,1.0207,,449175.5792,449175.5792
920008.BJ,20260127,3.2843,0.91,83.0945,6.4971,9.6112,,203553.75,107280.7162
300411.SZ,20260127,2.8186,1.03,758.2213,4.99,10.6248,,483758.8083,367847.445
000419.SZ,20260127,1.8417,0.79,27.287,1.0025,1.7604,2.3256,350610.8125,350610.8125
300470.SZ,20260127,2.0046,1.09,19.9852,2.9858,4.6805,2.6028,798988.9936,758063.8098
002654.SZ,20260127,5.5458,0.6,234.0577,8.5556,2.4179,,1338959.2297,1338864.1897
688573.SH,20260127,9.1117,1.67,,3.7017,4.4642,,235099.3031,127985.0211
603706.SH,20260127,0.8479,0.84,18.5057,2.386,2.6704,4.3042,395999.255,395999.255
600513.SH,20260127,6.9209,1.6,,4.1716,2.1434,0.4562,556925.1828,556925.1828
300672.SZ,20260127,9.1823,1.01,905.1522,7.6835,16.0499,0.2073,3126275.3088,3028862.3184
603979.SH,20260127,2.0288,1.3,21.9464,4.7175,3.8158,0.57,4924186.3085,4924186.3085
300603.SZ,20260127,4.5485,1.6,,3.4537,5.8131,,484784.5549,385512.1529
600885.SH,20260127,1.4282,0.91,26.3236,3.985,2.9854,1.1139,4820756.285,4820756.285
600071.SH,20260127,3.7589,1.7,101.2443,12.6236,3.9421,,636075.4153,636075.4153
601599.SH,20260127,3.8115,1.38,40.1716,3.1864,1.5086,,483946.2029,483946.2029
603043.SH,20260127,0.6829,0.93,20.0861,2.5449,1.875,3.3098,994780.1379,986358.7029
301227.SZ,20260127,7.1581,1.2,,2.0433,5.3331,,335116.1295,119417.0011
603188.SH,20260127,2.5716,0.9,,3.5891,3.8113,,275392.11,275392.11
300032.SZ,20260127,3.6402,0.66,,6.5814,2.7632,,454593.9981,454593.9981
688755.SH,20260127,2.8788,1.02,51.2666,3.0205,5.1479,0.2397,367136.0,73427.2
603978.SH,20260127,4.7789,0.87,,3.493,1.7402,,528369.0304,528369.0304
002272.SZ,20260127,5.1629,0.71,,4.9482,4.4531,,738468.1279,588628.6075
601668.SH,20260127,0.731,1.06,4.6439,0.4302,0.0979,5.4084,20742836.0029,20742836.0029
002297.SZ,20260127,10.8587,0.94,,3.4292,7.8906,,721538.9671,721538.9671
601163.SH,20260127,1.157,0.49,13.6658,0.8984,1.249,3.4416,1232000.0,1232000.0
688031.SH,20260127,5.1581,0.94,,30.9457,71.5169,,2767955.6806,2147272.6304
000417.SZ,20260127,5.422,0.57,42.1626,1.3807,0.9546,1.3205,649643.5386,648929.8667
688143.SH,20260127,6.0652,1.14,130.8629,5.0652,16.4707,0.0869,686015.3323,651888.5673
003032.SZ,20260127,1.5769,0.86,,2.1511,8.0749,,269639.825,185067.323
600020.SH,20260127,0.7043,1.06,9.5761,0.8205,1.3638,3.9171,975359.3751,975359.3751
300782.SZ,20260127,4.477,1.49,,4.2925,11.0579,0.1268,4299873.4255,3603013.5658
000636.SZ,20260127,5.2757,0.93,81.0134,1.9472,4.444,0.7074,2433198.7827,2433198.7827
300586.SZ,20260127,3.3919,0.91,,4.0609,4.4591,,761713.0268,572552.8172
688107.SH,20260127,2.8357,1.29,,11.8028,23.087,,1209362.5402,1209362.5402
002767.SZ,20260127,4.2879,0.63,96.1584,4.2405,5.504,0.1829,360900.0,313257.6415
603863.SH,20260127,3.3616,0.61,,11.2463,7.9414,,409504.65,409504.65
002139.SZ,20260127,2.7754,0.8,32.3447,2.4689,1.5884,0.4928,1745568.9832,1499413.9216
688297.SH,20260127,1.0853,0.83,543.3562,5.9479,18.2738,,3405375.0,3405375.0
300503.SZ,20260127,13.5944,0.76,148.0769,13.6191,12.3548,0.0886,1830867.1029,1431392.0881
920060.BJ,20260127,2.6162,0.93,39.532,4.8919,4.4348,1.4789,514063.0056,320600.8636
300817.SZ,20260127,2.5024,0.87,71.9419,4.5415,5.0945,1.3214,462573.9706,265428.5951
300955.SZ,20260127,7.3348,2.19,,4.7631,3.829,0.6752,418017.6,418017.6
002060.SZ,20260127,1.9082,1.02,13.0798,1.0268,0.2008,3.7135,1415406.2522,589181.1268
