ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
002342.SZ,20260331,0.1246,18.253,-37.9972,14.673,54.9718,-0.0815
002342.SZ,20251231,0.595,18.4246,137.2487,16.081,54.3466,0.0463
002342.SZ,20250930,0.2614,18.383,397.1138,13.1973,54.4486,-0.1142
002342.SZ,20250630,0.2303,18.003,137.2096,17.4522,54.7448,-0.0446
002342.SZ,20250331,0.2256,18.7986,63.3017,12.4427,53.7636,-0.1138
002342.SZ,20241231,-2.2592,20.4007,-344.0966,-4.8756,52.5527,0.0708
002342.SZ,20240930,-0.4425,21.0303,-133.8572,-10.1565,51.8887,-0.1469
002342.SZ,20240630,-0.0645,21.1561,-44.9846,-8.6567,48.9233,-0.1037
002342.SZ,20240331,0.0333,20.7606,80.065,-8.3444,48.9557,-0.1527
002342.SZ,20231231,0.1495,21.2214,-216.0249,7.1402,48.1818,0.0776
