ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
601138.SH,20260331,5.9765,7.3505,102.5485,56.5178,61.3822,1.261
601138.SH,20251231,21.4031,6.976,51.985,48.2244,63.3701,0.2638
601138.SH,20250930,13.7848,6.7633,48.5154,38.3979,63.8158,-0.2085
601138.SH,20250630,7.6671,6.6042,38.6111,35.5774,60.3297,0.0708
601138.SH,20250331,3.1646,6.7345,24.9921,35.157,56.5363,0.0654
601138.SH,20241231,15.9888,7.2761,10.3434,27.8783,51.7716,1.1989
601138.SH,20240930,10.3853,6.824,12.2829,32.7095,53.323,0.209
601138.SH,20240630,6.1198,6.7323,22.0369,28.6854,52.5674,0.2422
601138.SH,20240331,2.9914,7.6382,33.772,12.0876,47.2905,0.262
601138.SH,20231231,15.0161,8.0564,4.818,-6.9375,51.1322,2.1687
