ts_code,end_date,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps
920438.BJ,20260331,1.1438,28.9126,31.1564,21.386,39.8167,-0.1095
920438.BJ,20251231,2.8089,25.071,-57.8883,-2.5884,38.6877,0.5781
920438.BJ,20250930,2.1278,25.8696,-62.9783,-7.6363,37.889,0.5057
920438.BJ,20250630,1.2125,26.1559,-74.1265,-22.0618,37.3094,0.2947
920438.BJ,20250331,0.9726,28.0222,-73.2064,-33.3699,36.5597,0.0895
920438.BJ,20241231,7.8586,30.5907,-32.5859,-29.9544,32.334,0.6376
920438.BJ,20240930,6.814,31.7001,-31.8653,-24.1912,30.0134,0.3776
920438.BJ,20240630,5.8856,33.1964,-0.6147,-13.2246,30.8601,0.2807
920438.BJ,20240331,4.3842,37.6133,109.2574,18.9362,33.2028,0.1734
920438.BJ,20231231,20.403,29.8187,127.3677,88.2565,41.0734,1.69
