ts_code,name,industry,market,list_date,exchange,trade_date,close,pe_ttm,pb,total_mv,dv_ttm,h1_ann_date,h1_end_date,h1_roe,h1_roe_dt,h1_roic,h1_profit_dedt,h1_ocfps,h1_eps,h1_debt_to_assets,h1_grossprofit_margin,h1_netprofit_margin,h1_or_yoy,h1_netprofit_yoy,h1_dt_netprofit_yoy,h1_ocf_to_or,h1_ocf_to_profit,h1_interestdebt,h1_netdebt,h1_current_ratio,h1_rd_exp,fy_ann_date,fy_end_date,fy_roe,fy_roe_dt,fy_roic,fy_profit_dedt,fy_ocfps,fy_eps,fy_debt_to_assets,fy_grossprofit_margin,fy_netprofit_margin,fy_or_yoy,fy_netprofit_yoy,fy_dt_netprofit_yoy,fy_ocf_to_or,fy_ocf_to_profit,fy_interestdebt,fy_netdebt,fy_current_ratio,fy_rd_exp,years,profit_positive_years,cash_positive_years,roe_median,roic_median,cash_conversion_median,gross_margin_std,profit_cagr5,revenue_cagr5,market_cap_yi,financial,quality_score,growth_score,valuation_score,score,eligible_basic,eligible,gate_failures
001221.SZ,悍高集团,家居用品,主板,20250730,SZSE,20260918.0,35.03,19.1849,4.6085,1401235.03,2.141,20260810.0,20260630.0,9.9821,9.5239,8.7485,278900259.63,0.6174,0.73,28.7454,35.8134,17.4201,15.7405,10.1247,6.82,0.1472,73.2257,389268141.87,-1495523701.74,2.2302,60275443.22,20260427.0,20251231.0,30.8374,30.4275,27.3265,694157387.83,2.5995,1.87,31.4101,37.2031,19.571,25.8291,32.3948,33.4,0.2893,126.2378,385089561.94,-1723921408.63,2.2937,121823215.38,5,5,5,31.3793,27.3265,115.8911,2.6356494440649723,64.71143406431375,33.32965983725848,140.123503,False,57.587161954602244,21.2506,11.746272222222222,90.58403417682446,False,False,上市不足五年；总市值低于200亿元或缺失
603444.SH,吉比特,互联网,主板,20170104,SSE,20260918.0,347.71,11.1802,4.1358,2504941.0881,6.5886,20260814.0,20260630.0,18.8728,18.7893,18.2544,1086707855.97,17.6686,15.15,22.6105,93.7078,34.2236,48.0138,69.3142,67.77,0.3415,83.5202,24240639.42,-4875531224.9,3.344,431424748.7,20260327.0,20251231.0,34.4515,33.2571,33.9513,1731480486.48,38.8089,24.9,24.1584,93.9014,34.5847,67.8894,89.8221,97.39,0.4506,111.7417,23811018.59,-4366195841.73,3.0144,887440582.08,5,5,5,29.2439,33.9513,97.3504,3.2535674520439857,13.988842844348536,17.739146833528928,250.49410880999997,False,54.55229177104393,20.572088443603104,15.0,90.12438021464703,True,True,
605499.SH,东鹏饮料,软饮料,主板,20210527,SSE,20260918.0,111.54,16.6879,4.2049,8189259.1037,1.7241,20260731.0,20260630.0,19.842,17.9787,13.1342,2597599384.58,3.395,3.9949,45.472,48.3649,23.0425,15.8933,20.7201,14.41,0.2003,68.6874,6059043393.62,-8415659575.98,1.5761,46043289.72,20260331.0,20251231.0,51.6141,48.9125,28.1759,4184165425.82,11.8732,8.4907,64.7323,44.905,21.1447,31.7979,32.7217,28.26,0.2958,110.2122,7055606161.06,1375567169.39,0.9154,66338402.68,5,5,5,35.2535,26.6463,126.7698,1.1429451399782933,39.05036117623624,33.30803547247649,818.92591037,False,56.100320634920635,22.22991,11.780036111111112,90.11026674603175,True,True,
002847.SZ,盐津铺子,食品,主板,20170208,SZSE,20260918.0,42.45,14.3193,5.4608,1146945.6786,3.3068,20260820.0,20260630.0,20.0935,18.43,13.7454,390074884.71,2.1719,1.56,49.5508,32.2195,13.8177,4.4079,14.1039,16.76,0.1911,116.4738,1085437859.37,888631556.11,0.9492,41267243.17,20260408.0,20251231.0,38.702,36.9702,27.277,714923986.83,3.3331,2.78,47.069,30.7967,12.8884,8.6407,16.9495,25.86,0.1577,98.0593,977428950.32,810107913.24,0.8611,75646354.39,5,5,5,35.7033,27.277,124.7741,2.2772602503886112,30.4360624014552,24.0845826766116,114.69456785999999,False,54.735532978427756,20.22658,14.1335,89.09561297842775,False,False,总市值低于200亿元或缺失
002517.SZ,恺英网络,互联网,主板,20101207,SZSE,20260918.0,16.61,14.8982,3.3829,3548632.3213,0.5977,20260827.0,20260630.0,14.0087,11.4431,14.7331,1166734977.33,0.6846,0.67,25.7651,76.8728,32.3731,86.0574,50.3442,24.31,0.3049,92.945,153772936.03,-4537898968.89,2.674,218657675.44,20260429.0,20251231.0,23.1442,22.4041,22.202,1842747267.75,1.0591,0.89,24.2735,80.8401,35.7225,4.0402,16.8965,15.21,0.4249,114.2283,178525389.25,-4057417874.41,2.4952,595108685.97,5,5,5,24.2705,26.4461,104.7205,5.22870908848446,88.61273239122731,28.109020766523397,354.86323213,False,53.51246438272242,24.28875,10.747125,88.54833938272242,True,True,
300628.SZ,亿联网络,通信设备,创业板,20170317,SZSE,20260918.0,41.46,18.2079,5.7041,5252643.6864,4.3413,20260819.0,20260630.0,16.4461,15.59,16.3552,1444899264.04,0.6541,1.2032,9.7295,64.8811,45.5096,26.3958,22.9192,25.04,0.2474,49.2783,6800703.73,-1006126969.24,8.6326,230975968.27,20260422.0,20251231.0,28.4602,26.5424,28.3032,2425361907.9,1.4465,2.0551,12.7878,63.3196,43.1051,7.3264,-1.7844,-0.39,0.3037,64.5581,8807355.11,-878325034.56,6.5781,529947069.39,5,5,5,26.5424,28.3032,82.7457,1.7548385204912726,16.816271964354623,16.978879858735873,525.26436864,False,53.249385714285715,20.552758972087826,14.287133333333333,88.08927801970687,True,True,
688615.SH,合合信息,软件服务,科创板,20240926,SSE,20260918.0,87.2,36.7186,5.7566,1709120.0,1.3516,20260820.0,20260630.0,8.3761,7.0789,8.0163,208499982.91,1.3993,1.26,23.8879,86.9548,23.6809,22.2827,4.8097,-1.43,0.266,105.1423,42653886.83,-607685057.6,3.9488,310223793.04,20260317.0,20251231.0,16.2792,14.4137,15.3337,402098901.71,4.3319,3.24,24.4085,86.704,25.0818,25.8318,13.3854,9.6,0.3351,125.8501,42357188.57,-963376876.19,3.9125,527836494.36,5,5,5,35.5255,36.0963,134.4207,1.2978000431499426,33.01779201868267,25.63074263022218,170.912,False,60.0,21.07125,6.863144444444444,87.93439444444444,False,False,上市不足五年；总市值低于200亿元或缺失
300573.SZ,兴齐眼药,化学制药,创业板,20161208,SZSE,20260918.0,36.12,16.198,5.9267,1281962.7324,3.262,20260828.0,20260630.0,20.787,20.8443,20.094,431589421.95,1.1011,1.2,21.1516,82.2912,30.724,20.4801,28.5456,30.4,0.2809,79.4817,59159316.5,-407088304.84,1.954,161302852.97,20260422.0,20251231.0,38.9702,39.037,36.0731,697046957.34,3.0572,2.83,22.0928,81.1569,28.1398,27.2444,105.8368,100.56,0.3047,91.6284,82028488.07,-311685495.72,1.8584,246243474.96,5,5,5,18.2388,18.9017,114.4585,1.440708406652778,52.27618235600999,29.13258923727342,128.19627324,False,49.09323277310924,25.0,13.811277777777779,87.90451055088701,False,False,总市值低于200亿元或缺失
603091.SH,众鑫股份,家居用品,主板,20240920,SSE,20260918.0,46.9,19.5242,2.9439,671299.867,1.4621,20260826.0,20260630.0,8.6752,8.536,7.2589,190978662.58,1.1376,1.36,26.0589,33.861,21.3027,33.6987,66.6116,75.06,0.1804,79.8445,512347197.83,152206762.16,2.2858,15537531.06,20260414.0,20251231.0,12.6922,13.0988,10.5619,274760588.47,4.081,2.6,23.6622,32.9487,17.589,-2.6247,-17.794,-10.78,0.2771,134.7214,385371746.6,59824678.7,2.6876,36759343.77,5,5,5,23.6385,19.8242,83.3528,2.4435205476934296,31.360756216137496,21.086238298562133,67.1299867,False,51.33994923752354,25.0,10.822247222222222,87.16219645974576,False,False,上市不足五年；总市值低于200亿元或缺失
920663.BJ,明阳科技,汽车配件,北交所,20230315,BSE,20260918.0,12.4,17.2596,4.0873,165605.1124,4.8337,20260813.0,20260630.0,10.4696,10.5246,10.4494,42689259.75,0.3356,0.32,21.5788,40.3349,23.048,10.0535,33.1965,33.44,0.2432,91.3653,0.0,-77452479.36,3.1731,9654871.78,20260401.0,20251231.0,21.914,21.6814,21.6164,84459698.26,0.5905,0.64,21.7951,40.7859,21.9418,27.8433,7.8856,15.58,0.2027,80.2622,0.0,-62937710.04,3.1536,25636835.39,5,5,5,23.4804,21.5754,80.2622,2.068449141748474,20.374267726446995,24.48634091193067,16.56051124,False,51.06405458052485,21.530465672463038,14.497866666666667,87.09238691965454,False,False,上市不足五年；总市值低于200亿元或缺失
